Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
E85,Sinclair,295 S Broadway,Alameda and S Broadway,Denver,CO,80209,,303-765-5580,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.711518,-104.987981,2018-11-08,20899,2018-11-08 16:06:54 UTC,P,,,2002-10-15,,,,false,,US,,,,Public,,public,,
E85,Acorn Petroleum,108 Baxter Rd,,Pueblo,CO,81006,,719-948-4537,E,,Public - Credit card after hours,"6am-10pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.274655,-104.496219,2018-11-08,21741,2018-11-08 16:06:54 UTC,P,,,2016-12-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Acorn Petroleum,1041 N Colorado Ave,Off I-76,Brush,CO,80723,,970-842-3122,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.2665,-103.621179,2018-08-07,21996,2018-08-07 22:32:24 UTC,P,,,2005-04-15,,,,false,,US,,,,Public,,public,,
E85,Peterson Air Force Base,667 W Ent Ave,Building 1232,Colorado Springs,CO,80914,,,E,,Private - Government only,Also accepts paying arrangement made with station manager,Wright_Exp,,,,,,,,,,GPS,38.828939,-104.709256,2017-09-06,25404,2018-02-06 21:00:03 UTC,FG,5,Department of Air Force,2002-01-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DAF
E85,Hill Petroleum - Sinclair Oil,6301 W 58th Ave,,Arvada,CO,80002,,303-423-3446,E,,Public,"5:30am-8pm M-F, 6am-8pm Sat, 9am-5pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,39.8027,-105.0634,2018-11-08,30402,2018-11-08 16:06:54 UTC,P,,,2006-10-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,2775 Briargate Blvd,Corner of Union and Briargate Blvd,Colorado Springs,CO,80920,,719-268-2703,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.941168,-104.775784,2018-11-08,31460,2018-11-08 16:06:54 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,
E85,Cenex - Agland,2449 35th Ave,,Greeley,CO,80634,,970-339-5040,E,,Public - Credit card after hours,6am-9pm daily,A Cash D M V Wright_Exp,,,,,,,,,,200-9,40.396577,-104.735492,2018-11-08,31488,2018-11-08 16:06:54 UTC,P,,,2007-03-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Poudre Valley Co-op,225 NW Frontage Rd,,Fort Collins,CO,80524,,970-221-5300,E,,Public - Credit card after hours,"7am-6pm M-F, 7am-4pm Sat",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.58992,-105.003017,2018-11-08,31535,2018-11-08 16:06:54 UTC,P,,,2007-04-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Alta Convenience Store - Conoco,15201 E Hampden,,Aurora,CO,80014,,303-693-1887,E,,Public,5am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.653535,-104.811149,2018-11-08,31668,2018-11-08 16:06:54 UTC,P,,,2007-05-15,,,,false,,US,,,,Public,,public,,
E85,Alta Convenience Store,900 Ken Pratt,,Longmont,CO,80501,,303-651-3694,E,,Public,"5am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.15274,-105.10774,2018-11-08,31733,2018-11-08 16:06:54 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,
